classificacao,genero,cor_ou_raca,estados,mes_pesquisa,semana_do_mes,febre,tosse,dor_de_garganta,dificuldade_respirar,dor_no_peito,nariz_escorrendo_entupido,fadiga,perda_de_ofato_sabor,dores_musculares,diarreia
26-59 Adulto,Homem,Parda,Rondônia,7,4,2,3,3,2,3,3,1,2,2,2
26-59 Adulto,Mulher,Parda,Rondônia,7,4,3,6,3,3,3,6,2,2,4,4
13-17 Adolescente,Homem,Parda,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Parda,Rondônia,7,4,0,1,0,1,0,2,0,0,0,0
26-59 Adulto,Mulher,Branca,Rondônia,7,1,3,1,2,1,0,0,0,0,2,2
18-25 Jovem ,Mulher,Parda,Rondônia,7,4,2,2,3,3,2,3,2,2,2,2
0-12 Criança,Mulher,Parda,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Amarela,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Parda,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Parda,Rondônia,7,3,0,0,0,0,0,0,1,0,0,0
60+ Idoso,Mulher,Parda,Rondônia,7,3,2,3,1,1,0,1,1,1,2,2
26-59 Adulto,Mulher,Parda,Rondônia,7,2,7,8,7,7,3,6,5,5,14,14
26-59 Adulto,Homem,Preta,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Parda,Rondônia,7,3,6,4,3,3,2,2,1,4,5,5
26-59 Adulto,Mulher,Parda,Rondônia,7,3,9,8,8,4,6,5,7,5,9,9
18-25 Jovem ,Homem,Parda,Rondônia,7,1,1,2,1,1,1,1,2,1,2,2
26-59 Adulto,Mulher,Parda,Rondônia,7,1,4,1,5,3,1,2,2,1,7,7
13-17 Adolescente,Mulher,Parda,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Branca,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Parda,Rondônia,7,1,6,8,4,2,0,5,2,3,4,4
18-25 Jovem ,Homem,Parda,Rondônia,7,3,1,1,1,0,0,2,0,1,2,2
0-12 Criança,Homem,Branca,Rondônia,7,3,1,0,1,0,0,0,0,0,0,0
60+ Idoso,Homem,Parda,Rondônia,7,4,0,0,0,0,0,0,0,0,3,3
26-59 Adulto,Mulher,Preta,Rondônia,7,4,0,2,0,0,0,1,0,0,0,0
18-25 Jovem ,Homem,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Branca,Rondônia,7,1,2,3,4,0,1,1,0,1,2,2
26-59 Adulto,Homem,Parda,Rondônia,7,2,4,11,11,6,6,6,7,4,10,10
0-12 Criança,Mulher,Parda,Rondônia,7,2,0,0,1,0,0,0,0,0,0,0
0-12 Criança,Homem,Parda,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Indígena,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Branca,Rondônia,7,3,4,3,3,2,2,2,2,2,3,3
18-25 Jovem ,Homem,Branca,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Preta,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Homem,Parda,Rondônia,7,3,1,0,0,0,0,0,0,0,1,1
26-59 Adulto,Homem,Preta,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Preta,Rondônia,7,3,2,1,1,2,1,1,2,2,2,2
0-12 Criança,Mulher,Preta,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Branca,Rondônia,7,3,0,0,1,0,0,0,0,0,2,2
0-12 Criança,Mulher,Branca,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Preta,Rondônia,7,4,0,0,0,0,0,0,1,0,0,0
13-17 Adolescente,Homem,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Preta,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Parda,Rondônia,7,2,1,0,1,0,0,0,0,1,0,0
0-12 Criança,Homem,Parda,Rondônia,7,2,1,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Parda,Rondônia,7,2,2,1,2,0,1,0,0,1,1,1
60+ Idoso,Mulher,Branca,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Mulher,Branca,Rondônia,7,2,1,1,0,1,1,1,0,1,4,4
13-17 Adolescente,Homem,Parda,Rondônia,7,2,2,1,1,1,0,0,0,1,2,2
0-12 Criança,Homem,Branca,Rondônia,7,2,0,0,1,0,0,0,0,0,0,0
26-59 Adulto,Homem,Branca,Rondônia,7,4,0,1,0,0,0,0,0,0,1,1
26-59 Adulto,Homem,Branca,Rondônia,7,2,0,2,1,0,1,1,1,0,1,1
26-59 Adulto,Mulher,Preta,Rondônia,7,2,1,1,1,1,0,0,2,0,1,1
18-25 Jovem ,Homem,Preta,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Homem,Branca,Rondônia,7,3,0,1,0,0,0,0,0,0,0,0
0-12 Criança,Mulher,Branca,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Parda,Rondônia,7,2,0,0,0,1,0,0,0,1,1,1
60+ Idoso,Mulher,Parda,Rondônia,7,4,1,1,0,1,1,1,2,1,3,3
18-25 Jovem ,Homem,Branca,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Branca,Rondônia,7,2,0,1,1,0,1,0,2,0,1,1
13-17 Adolescente,Homem,Parda,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
60+ Idoso,Mulher,Branca,Rondônia,7,4,0,1,0,0,0,1,0,0,1,1
26-59 Adulto,Mulher,Branca,Rondônia,7,4,2,3,2,0,0,2,0,0,4,4
18-25 Jovem ,Mulher,Branca,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Branca,Rondônia,7,3,0,0,0,0,0,0,0,1,0,0
60+ Idoso,Homem,Parda,Rondônia,7,2,0,1,0,0,0,1,0,1,0,0
60+ Idoso,Homem,Parda,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Branca,Rondônia,7,1,0,0,1,0,0,0,1,0,0,0
60+ Idoso,Mulher,Parda,Rondônia,7,1,0,1,0,0,0,1,1,0,1,1
18-25 Jovem ,Mulher,Parda,Rondônia,7,1,1,2,3,0,1,1,2,1,3,3
0-12 Criança,Mulher,Parda,Rondônia,7,1,1,1,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Branca,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
13-17 Adolescente,Mulher,Branca,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
26-59 Adulto,Homem,Amarela,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Homem,Parda,Rondônia,7,4,1,0,0,2,0,2,0,0,0,0
60+ Idoso,Homem,Branca,Rondônia,7,1,0,0,0,0,0,0,0,0,1,1
18-25 Jovem ,Mulher,Preta,Rondônia,7,1,0,0,0,0,0,0,0,0,0,0
0-12 Criança,Homem,Branca,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0
18-25 Jovem ,Mulher,Branca,Rondônia,7,1,0,0,0,0,0,1,0,0,0,0
