classificacao,genero,estados,mes_pesquisa,semana_do_mes,foi_estabelecimento_saude,nao_foi_estabelecimento_saude,ignorou_os_sintomas,hospital_sus,nao_era_um_hospital_sus,nao_respondeu,atenidento_pivado_ou_militar,nao_buscou_atendimento_privado,nao_respondeu_atendiento_privado,fez_exame_SWAB,nao_fez_exame_SWAB,resultado_positivo,resultado_negativo,resultado_inconclusivo,ainda_sem_resultado,tem_doencas_respiratorias,nao_tem_doencas_respiratorias,ignorou_doencas_respiratorias
26-59 Adulto,Homem,Rondônia,7,4,2,8,0,1,1,0,0,2,0,9,17,6,3,0,0,6,288,6
26-59 Adulto,Mulher,Rondônia,7,4,3,19,0,2,1,0,1,2,0,12,23,5,5,1,1,18,295,7
13-17 Adolescente,Homem,Rondônia,7,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,45,1
0-12 Criança,Homem,Rondônia,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89,2
26-59 Adulto,Mulher,Rondônia,7,1,10,25,0,3,7,0,1,9,0,20,19,3,14,0,3,16,321,7
18-25 Jovem ,Mulher,Rondônia,7,4,3,1,0,1,2,0,0,3,0,1,4,0,1,0,0,3,84,1
0-12 Criança,Mulher,Rondônia,7,4,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,101,3
13-17 Adolescente,Mulher,Rondônia,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
60+ Idoso,Homem,Rondônia,7,3,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,87,0
60+ Idoso,Mulher,Rondônia,7,3,1,6,0,0,1,0,0,1,0,3,4,0,3,0,0,3,97,0
26-59 Adulto,Mulher,Rondônia,7,2,13,31,0,2,11,0,2,11,0,13,19,5,7,1,0,17,322,2
26-59 Adulto,Homem,Rondônia,7,2,5,23,1,0,5,0,1,4,0,16,14,6,10,0,0,9,310,3
13-17 Adolescente,Mulher,Rondônia,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,0
26-59 Adulto,Homem,Rondônia,7,3,2,10,0,0,2,0,0,2,0,12,14,6,6,0,0,12,311,4
26-59 Adulto,Mulher,Rondônia,7,3,9,20,0,1,8,0,1,8,0,9,16,5,4,0,0,18,331,4
18-25 Jovem ,Homem,Rondônia,7,1,1,3,0,0,1,0,0,1,0,2,3,1,1,0,0,3,84,1
13-17 Adolescente,Mulher,Rondônia,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,42,1
0-12 Criança,Mulher,Rondônia,7,1,2,1,0,1,1,0,0,2,0,0,1,0,0,0,0,3,109,4
26-59 Adulto,Homem,Rondônia,7,1,2,20,0,0,2,0,0,2,0,11,16,3,8,0,0,13,295,10
18-25 Jovem ,Homem,Rondônia,7,3,1,4,0,0,1,0,0,1,0,2,4,1,1,0,0,6,91,1
0-12 Criança,Homem,Rondônia,7,3,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,111,0
60+ Idoso,Homem,Rondônia,7,4,0,5,0,0,0,0,0,0,0,1,5,0,1,0,0,4,74,1
18-25 Jovem ,Homem,Rondônia,7,4,2,1,0,0,2,0,0,2,0,1,5,1,0,0,0,7,58,1
0-12 Criança,Mulher,Rondônia,7,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,110,0
0-12 Criança,Homem,Rondônia,7,1,0,0,0,0,0,0,0,0,0,4,4,1,3,0,0,4,122,0
13-17 Adolescente,Homem,Rondônia,7,3,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,2,54,0
0-12 Criança,Mulher,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,101,3
18-25 Jovem ,Mulher,Rondônia,7,2,1,4,0,0,1,0,0,1,0,2,3,1,1,0,0,4,93,1
0-12 Criança,Homem,Rondônia,7,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,7,110,0
60+ Idoso,Mulher,Rondônia,7,2,0,4,0,0,0,0,0,0,0,1,2,0,1,0,0,4,98,1
60+ Idoso,Mulher,Rondônia,7,1,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,3,87,3
13-17 Adolescente,Homem,Rondônia,7,2,1,3,0,1,0,0,0,1,0,2,1,1,1,0,0,0,57,0
18-25 Jovem ,Homem,Rondônia,7,2,1,3,0,0,1,0,1,0,0,1,2,1,0,0,0,0,78,2
60+ Idoso,Mulher,Rondônia,7,4,1,6,0,0,1,0,0,1,0,2,2,2,0,0,0,2,86,0
13-17 Adolescente,Homem,Rondônia,7,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,53,1
18-25 Jovem ,Mulher,Rondônia,7,3,3,1,0,2,1,0,0,3,0,0,6,0,0,0,0,3,84,1
60+ Idoso,Homem,Rondônia,7,2,0,6,0,0,0,0,0,0,0,3,2,1,2,0,0,5,102,0
60+ Idoso,Homem,Rondônia,7,1,1,2,0,0,1,0,0,1,0,1,3,0,0,0,1,3,76,2
18-25 Jovem ,Mulher,Rondônia,7,1,1,5,0,0,1,0,0,1,0,4,3,1,3,0,0,3,77,2
13-17 Adolescente,Mulher,Rondônia,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,1
26-59 Adulto,Mulher,Acre,7,1,14,24,0,1,13,0,0,14,0,18,9,12,3,0,3,26,377,1
26-59 Adulto,Homem,Acre,7,1,9,23,0,0,9,0,0,9,0,9,12,4,2,0,3,12,356,1
0-12 Criança,Mulher,Acre,7,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,116,0
0-12 Criança,Homem,Acre,7,1,1,4,0,0,1,0,0,1,0,1,0,1,0,0,0,6,158,0
60+ Idoso,Homem,Acre,7,4,1,5,0,0,1,0,0,1,0,1,3,1,0,0,0,2,85,0
26-59 Adulto,Mulher,Acre,7,2,14,30,0,4,10,0,2,12,0,15,30,8,7,0,0,19,376,2
0-12 Criança,Mulher,Acre,7,2,0,8,0,0,0,0,0,0,0,1,1,1,0,0,0,4,138,0
26-59 Adulto,Homem,Acre,7,4,9,17,0,3,6,0,0,9,0,15,16,8,5,0,2,8,351,1
26-59 Adulto,Mulher,Acre,7,4,15,27,0,3,12,0,0,15,0,21,22,12,6,0,3,20,404,1
13-17 Adolescente,Homem,Acre,7,4,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,2,81,0
26-59 Adulto,Homem,Acre,7,2,8,22,0,4,4,0,0,8,0,6,27,4,2,0,0,8,343,2
60+ Idoso,Mulher,Acre,7,4,2,10,0,0,2,0,0,2,0,2,0,0,1,1,0,7,82,0
18-25 Jovem ,Homem,Acre,7,4,1,3,0,0,1,0,0,1,0,2,1,1,0,0,1,2,92,0
18-25 Jovem ,Homem,Acre,7,1,2,12,0,0,2,0,0,2,0,4,3,2,2,0,0,8,119,0
18-25 Jovem ,Homem,Acre,7,2,1,6,0,0,1,0,0,1,0,4,5,2,2,0,0,3,109,0
13-17 Adolescente,Homem,Acre,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0
13-17 Adolescente,Mulher,Acre,7,2,1,0,0,0,1,0,0,1,0,1,2,0,1,0,0,2,75,0
60+ Idoso,Mulher,Acre,7,3,5,11,0,1,4,0,1,4,0,3,4,2,1,0,0,11,118,0
